"IYCCNTRNO","IYCCNTRAREAID","IYCIVOYID","IYCEVOYID","IYCCTYPECD","IYCCSZCSIZECD","IYCPOTDSTPORT","IYCWEIGHT","IYCDNGFG","IYCREFFG","IYCYLOCATION","IYCPLANFG"
"MRKU2626553","A3","","195397","GP","40","USSAV","14475","","","A35842","N"
"MRKU0121876","87","","195397","GP","40","USSAV","15120","","","877412","N"
"MSCU4649400","A3","","195397","GP","40","USSAV","26280","","","A35425","Y"
"MRKU4380936","75","","195397","GP","40","USSAV","11751","","","755833",""
"MRKU7935956","B2","","195397","GP","20","USSAV","7258","","","B24551","Y"
"MRKU3691384","83","195769","195397","GP","40","USJAX","28600","","","836444",""
"FSCU4185684","B3","","195397","GP","40","USJAX","13891","","","B30633","N"
"MSCU4852383","B3","","195397","GP","40","USJAX","16310","","","B30242","N"
"MSCU4945110","A7","","195397","GP","40","USSAV","26100","","","A70243","Y"
"MAEU9163710","99","195769","195397","HC","45","USMIA","9348","","","992613","Y"
"TGHU2402201","B3","195769","195397","GP","20","USCHS","22842","","","B30952",""
"MSKU4240094","B3","195769","195397","GP","20","USCHS","22842","","","B30945",""
"CLHU8292528","B2","","195397","GP","40","USCHS","12783","","","B25024","N"
"MSKU9392253","A3","","195397","GP","40","USCHS","9195","","","A33842","N"
"CARU5803596","A3","","195397","GP","40","USCHS","10182","","","A34222","N"
"FCIU8760231","B2","","195397","GP","40","USJAX","8493","","","B25421","N"
"MEDU6086724","B3","","195397","GP","20","USMIA","23595","","","B31142","N"
"TCNU7170811","B3","","195397","GP","40","USMIA","23770","","","B32612","N"
"MSKU5242804","B3","","195397","GP","20","USMIA","5851","","","B31132","N"
"MSCU4664088","A2","","195397","GP","40","USSAV","26500","","","A22262","Y"
"MRKU2401454","B2","","195397","GP","40","USSAV","9776","","","B24263","N"
"MRKU5577909","72","195191","195397","HC","40","USCHS","9479","","","723223",""
"TTNU5169075","B2","","195397","GP","40","USCHS","8240","","","B25041","N"
"MSKU6755611","A3","","195397","GP","40","USCHS","27488","","","A34254","N"
"MRKU5051745","A2","","195397","GP","40","USCHS","13925","","","A22224","N"
"MSKU5004072","B2","","195397","GP","20","USMIA","29200","","","B24543",""
"MSKU9328439","B2","","195397","GP","40","USSAV","17635","","","B23814","N"
"MEDU4171719","A7","","195397","GP","40","USSAV","26300","","","A70241","Y"
"MSCU9302461","A2","","195397","GP","40","USCHS","16315","","","A22212","N"
"MEDU4070420","A2","","195397","GP","40","USCHS","8269","","","A22241","N"
"MRKU0903181","B3","","195397","GP","40","USJAX","5640","","","B30224","N"
"MSKU7408812","A3","","195397","GP","20","USCHS","19368","","","A34533","N"
"TRLU6751367","B3","","195397","GP","40","USMIA","7529","","","B32644","N"
"MWCU6817210","A3","","195397","RF","40","USSAV","29580","","","A35812","Y"
